2026-03-09 17:09:17 | INFO     | loader | Inicializace databáze: C:\Users\Vinci\Desktop\ukol2\rick_and_morty.db
2026-03-09 17:09:17 | INFO     | loader | Databáze úspěšně inicializována: rick_and_morty.db
2026-03-09 17:09:17 | INFO     | loader | Zahájení nahrávání všech dat do databáze
2026-03-09 17:09:17 | INFO     | loader | Nahrávání 126 lokací do databáze
2026-03-09 17:09:17 | INFO     | loader | Nahrávání lokací dokončeno: 126 nových, 0 duplicit, 0 chyb
2026-03-09 17:09:17 | INFO     | loader | Nahrávání 660 postav do databáze
2026-03-09 17:09:17 | INFO     | loader | Nahrávání postav dokončeno: 660 nových, 0 duplicit, 0 chyb, 21 bez validní lokace
2026-03-09 17:09:17 | INFO     | loader | Nahrávání dat dokončeno: 126 nových lokací (0 duplicit), 660 nových postav (0 duplicit)
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | __main__ | VÝSLEDKY NAHRÁVÁNÍ DO DATABÁZE
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | __main__ | LOKACE:
2026-03-09 17:09:17 | INFO     | __main__ |   - Nově vloženo: 126
2026-03-09 17:09:17 | INFO     | __main__ |   - Preskočeno (duplicitní): 0
2026-03-09 17:09:17 | INFO     | __main__ |   - Chyby: 0
2026-03-09 17:09:17 | INFO     | __main__ | POSTAVY:
2026-03-09 17:09:17 | INFO     | __main__ |   - Nově vloženo: 660
